,holiday,name,vacation,remark
0,1月1号,元旦节,2025-01-01,
1,1月28号,春节,2025-01-28|2025-01-29|2025-01-30|2025-01-31|2025-02-01|2025-02-02|2025-02-03|2025-02-04,2025-01-26|2025-02-08
2,4月4号,清明节,2025-04-04|2025-04-05|2025-04-06,
3,5月1号,劳动节,2025-05-01|2025-05-02|2025-05-03|2025-05-04|2025-05-05,2025-04-27
4,5月31号,端午节,2025-05-31|2025-06-01|2025-06-02,
5,10月1号,国庆节,2025-10-01|2025-10-02|2025-10-03|2025-10-04|2025-10-05|2025-10-06|2025-10-07|2025-10-08,2025-09-28|2025-10-11
6,10月6号,中秋节,2025-10-06,
