,holiday,name,vacation,remark
0,1月1号,元旦节,2023-12-30|2023-12-31|2024-01-01,
1,2月10号,春节,2024-02-10|2024-02-11|2024-02-12|2024-02-13|2024-02-14|2024-02-15|2024-02-16|2024-02-17,2024-02-04|2024-02-18
2,4月4号,清明节,2024-04-04|2024-04-05|2024-04-06,2024-04-07
3,5月1号,劳动节,2024-05-01|2024-05-02|2024-05-03|2024-05-04|2024-05-05,2024-04-28|2024-05-11
4,6月10号,端午节,2024-06-08|2024-06-09|2024-06-10,
5,9月17号,中秋节,2024-09-15|2024-09-16|2024-09-17,2024-09-14
6,10月1号,国庆节,2024-10-01|2024-10-02|2024-10-03|2024-10-04|2024-10-05|2024-10-06|2024-10-07,2024-09-29|2024-10-12
